Religion or spiritual tradition,Religion or spiritual tradition (other),Gender Identity,Gender Identity (not listed in survey),Race/Ethnicity**,Financial need level,Class Year Categories,School,1st Generation College,Federally Reported Race/Ethnicity,Sex,Have you ever sought any services provided by CAPS?,For which of the following reasons have you not sought services provided by CAPS?**,"Agreement with: ""I avoid consultations with CAPS because I am worried what I tell them might lead to negative academic repercussions""",For which of the following purposes would you feel comfortable utilizing CAPS?**,Which of the following CAPS services have you used?**,What was the outcome of your treatment at CAPS?,What was the outcome of your treatment at CAPS? (other),How many times did you visit CAPS?,In what school year(s) have you used or attempted to use CAPS?**,"Agreement with: ""CAPS was beneficial to my mental health""",Why did CAPS not have a beneficial effect on your mental health?**,Have you ever contacted the CAPS crisis support line?,You indicated that you have not contacted the CAPS crisis support line. Why?,You indicated that you have not contacted the CAPS crisis support line. Why? (other),Have you used the virtual support service TimelyCare?,"Agreement with: ""TimelyCare was beneficial for my mental health""","Agreement with: ""CAPS is committed to providing good quality treatment to students, regardless of their identity""","Agreement with: ""CAPS has the resources necessary to treat students of marginalized identities""","Agreement with: ""CAPS does their best to treat students of marginalized identities""",Which of the following sources have influenced your opinion about CAPS?**,"Which of the following resources, excluding CAPS, would you turn to if you were struggling with mental health?**","Which of the following are mental health and intervention offerings by Northwestern that you are aware of, if any?**","Which of the following would you consider to be your main source of community, support, and well-being?","Agreement with: ""I have been able to access meaningful mental health services provided to me by Northwestern""",Have you ever experienced a mental health issue that has impacted your academic performance at NU?,"Have you ever considered taking a medical leave of absence (""MLOA"") at Northwestern for mental health purposes?","Why did you not take a medical leave of absence (""MLOA"")? (if ""considered taking MLOA"" was selected)**",Which of the following identities best describes you?,"Agreement with: ""I feel comfortable expressing my religious or spiritual identity on campus""",In which of the following settings do you not feel comfortable expressing your religious or spiritual identity?**,"Agreement with: ""My professors treat my religion or spirituality with respect""","Agreement with: ""I have a space on campus where I can adequately practice my religion or spirituality""","Agreement with: ""I receive the academic accommodations that I need to account for my religious or spiritual restrictions""",What resources provided by Religious and Spiritual Life (RSL) are you aware of?**,"Agreement with: ""I would use a confidential conversation with a university chaplain for support""",Why would you not use a confidential conversation with a chaplain for support?**,"Agreement with: ""I would be more likely to consult with a university chaplain if they came from a secular background""",Do you identify as a first-generation student?,Do you identify as a low-income student?,"Agreement with: ""I feel supported by Student Enrichment Services (SES)""","Agreement with: ""I feel I have found a community on campus where I belong""","Agreement with: ""I feel like I am treated equally in the classroom, regardless of my socio-economic background""",Do you currently work a job on or off campus?,Hours per week you dedicate to non-paying student organizations,"Agreement with: ""Cost is something I consider when registering for classes""","Agreement with: ""I have financially struggled to purchase required books for classes""","Agreement with: ""I have financially struggled to purchase required technology for classes""",In what years during your time at Northwestern have you struggled financially to purchase required course materials?**
Agnostic,No answer,Cisgender man,No answer,"American Indian or Alaska Native (Examples: Navajo Nation, Blackfeet Tribe, or Inupiat Traditional Govt.),Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian)",Not High Need 4+,Second Year,Weinberg College of Arts & Sci,First Generation College,Hispanic,Male,No,"I am worried the wait time will be too long,I don't think CAPS has staff who can treat me,I have an external provider for mental and psychological health",Strongly agree,"Coping with academic-related stress,Help transitioning to Northwestern",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat disagree,Strongly disagree,Somewhat disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications","Friends,Family","ResilientNU,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Dorm/neighborhood",Somewhat disagree,Yes,"Yes, although I did not take one.","I decided it was no longer necessary,Stigma related to MLOAs,Anxiety around falling behind academically,I do not want to be distanced from my community at Northwestern",I am spiritual,Somewhat agree,No answer,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Alice Millar Chapel Choir concerts,Somewhat disagree,"I generally avoid religious institutions,I did not know chaplain services existed at Northwestern",Neither agree nor disagree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat disagree,"Yes, one",Between 1-5 hours,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No answer
Taoist,No answer,Non-binary / Non-conforming,No answer,"Black or African-American (Examples: Jamaican, Nigerian, Haitian, Ethiopian),Middle Eastern or North African (Examples: Lebanese, Iranian, Egyptian, Syrian, Moroccan)",Not High Need 4+,Second Year,School of Engineering,Not 1st Generation,Two or More Races,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Student organizations,Friends,Family,Peer advisors","Drop-In Hours at CARE,NU Peer Support Group,Active Minds,ResilientNU,Appointment at CAPS","Friend Group,Family",Neither agree or disagree,Yes,"Yes, although I did not take one.","Stigma related to MLOAs,Anxiety around falling behind academically",I am spiritual,Somewhat agree,No answer,Neither agree nor disagree,Somewhat agree,Somewhat agree,Drop-in meditation,Strongly disagree,"None of the chaplains reflect my identity,I have other sources of support,I generally avoid religious institutions",Strongly agree,No,No,No answer,Strongly agree,No answer,"Yes, more than one",Between 6-10 hours,Neither agree nor disagree,Strongly agree,Strongly agree,"First year,Second year"
Hindu,No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Asian/Pacific Islander,Female,No,"I am worried the wait time will be too long,I don't have time",Neither agree nor disagree,"Coping with academic-related stress,Help with interpersonal relationships,Help navigating my identity",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat disagree,Somewhat disagree,Somewhat disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications","Student organizations,Friends,Family","Drop-In Hours at the Women's Center,Active Minds,ResilientNU,Appointment at CAPS","Friend Group,Family,Student organization",Neither agree or disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am spiritual,Somewhat agree,No answer,Somewhat agree,Somewhat agree,Neither agree nor disagree,Drop-in meditation,Strongly disagree,"I have other sources of support,I generally avoid religious institutions",Strongly agree,No,No,No answer,Somewhat agree,No answer,"Yes, one",Between 6-10 hours,Strongly agree,Strongly disagree,Strongly disagree,No answer
Agnostic,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,International,Female,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Friends,Family","Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family,Dorm/neighborhood,Student organization",Neither agree or disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,Drop-in meditation,Strongly disagree,"None of the chaplains reflect my identity,I generally avoid religious institutions,I did not know chaplain services existed at Northwestern",Neither agree nor disagree,No,Yes,Somewhat agree,Somewhat agree,Strongly agree,"Yes, one",Between 1-5 hours,Somewhat disagree,Somewhat agree,Somewhat agree,First year
Atheist,No answer,Cisgender man,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese),White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Second Year,School of Engineering,Not 1st Generation,Two or More Races,Male,No,"I am worried the wait time will be too long,I don't think CAPS has staff who can treat me",Neither agree nor disagree,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"No, unaware of this service",No answer,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications,Peer advisors and student mentors","Friends,Family",No answer,Friend Group,Strongly disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,"I have other sources of support,I generally avoid religious institutions,I did not know chaplain services existed at Northwestern",Neither agree nor disagree,No,No,No answer,Somewhat agree,No answer,No,Between 6-10 hours,Somewhat disagree,Somewhat agree,Somewhat agree,First year
Agnostic,No answer,Non-binary / Non-conforming,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian),White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Second Year,School of Engineering,Not 1st Generation,Hispanic,Female,No,"I don't have time,I am worried about cost",Somewhat agree,"Coping with academic-related stress,Counseling on a Medical Leave of Absence",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"No, unaware of this service",No answer,Somewhat agree,Somewhat agree,Somewhat agree,"Social media and online platforms,Student publications","Friends,Family","Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family",Neither agree or disagree,Yes,"Yes, although I did not take one.","I had a lack of information and guidance about the MLOA process,Stigma related to MLOAs,Anxiety around falling behind academically",I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Neither agree nor disagree,No answer,No answer,No,No,No answer,Somewhat agree,No answer,No,Between 1-5 hours,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,No answer
Christian (non-denominational),No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Second Year,School of Educ & Soc Policy,Not 1st Generation,Hispanic,Female,Yes,No answer,Neither agree nor disagree,"Coping with academic-related stress,Emergency mental health care",timely care (attempted),Other,timely care required medical info that I didn't have at the time when I felt I needed urgent support so I didn't end up using it,Once,2021-2022,Neither agree nor disagree,No answer,"Yes, outside of office hours",No answer,No answer,Yes,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications,Peer advisors and student mentors","Student organizations,CARE,Friends,Family,Faculty or academic advisors","Soldari-tea,Drop-In Hours at the Women's Center,Let's Talk,Drop-In Hours at CARE,Active Minds,ResilientNU,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Student organization",Strongly disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Strongly agree,No answer,Somewhat agree,Strongly agree,Strongly agree,"Drop-in meditation,Alice Millar Chapel Choir concerts",Somewhat disagree,"I have other sources of support,I did not know chaplain services existed at Northwestern",Strongly disagree,No,No,No answer,Somewhat agree,No answer,"Yes, more than one",Between 6-10 hours,Strongly agree,Neither agree nor disagree,Somewhat agree,"First year,Second year"
No answer,No answer,No answer,No answer,No answer,Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Male,No,"I am worried the wait time will be too long,I don't think CAPS has staff who can treat me,I don't have time",Strongly disagree,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No answer,Student organizations,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer
Agnostic,No answer,Cisgender man,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Asian/Pacific Islander,Male,No,Haven't needed any CAPS services,Neither agree nor disagree,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Social media and online platforms,"Friends,Family",Let's Talk,"Friend Group,Dorm/neighborhood,Student organization",Neither agree or disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,Drop-in meditation,Somewhat disagree,I did not know chaplain services existed at Northwestern,Neither agree nor disagree,No,No,No answer,Strongly agree,No answer,"Yes, one",Between 1-5 hours,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,No answer
Catholic,No answer,Cisgender woman,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian),White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Second Year,School of Journalism,Not 1st Generation,Hispanic,Female,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Student organizations,Friends,Family","Drop-In Hours at CARE,Active Minds,Virtual appointment through TimelyCare","Friend Group,Family,Student organization",Neither agree or disagree,Prefer not to answer,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Somewhat agree,No answer,Somewhat agree,Somewhat agree,Neither agree nor disagree,"Weekly religious services,Alice Millar Chapel Choir concerts",Somewhat agree,No answer,No answer,No,No,No answer,Strongly agree,No answer,No,Between 16-20 hours,Somewhat agree,Strongly disagree,Strongly disagree,No answer
Eastern Orthodox,No answer,Cisgender woman,No answer,"Middle Eastern or North African (Examples: Lebanese, Iranian, Egyptian, Syrian, Moroccan),White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Female,No,Haven't needed any CAPS services,Strongly disagree,"Help with interpersonal relationships,Emergency mental health care,Help transitioning to Northwestern,Help navigating my identity,Receiving a preliminary diagnosis,Counseling on a Medical Leave of Absence",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Strongly agree,Somewhat agree,Strongly agree,Non-treatment interactions with/presentations by CAPS staff,"Friends,Family,Resident Assistants","Soldari-tea,Drop-In Hours at the Women's Center,Let's Talk,NU Peer Support Group,ResilientNU,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family,Student organization",Unable to judge,No,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Somewhat disagree,In classes or labs,Somewhat agree,Somewhat agree,Strongly agree,"Weekly religious services,Drop-in meditation,Alice Millar Chapel Choir concerts,Confidential chaplain consultations",Somewhat agree,No answer,No answer,No,No,No answer,Strongly agree,No answer,"Yes, more than one",Between 1-5 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Presbyterian,No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Asian/Pacific Islander,Female,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Friends,Family,Peer advisors,Faculty or academic advisors","NU Peer Support Group,Virtual appointment through TimelyCare","Friend Group,Family,Academic Cohort (people in your major, PA group, Peer-Guided Study group),Dorm/neighborhood,Student organization",Neither agree or disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Somewhat agree,No answer,Somewhat agree,Strongly agree,Somewhat agree,"Weekly religious services,Alice Millar Chapel Choir concerts",Somewhat agree,No answer,No answer,No,Yes,Neither agree nor disagree,Somewhat agree,Strongly agree,"Yes, more than one",Between 11-15 hours,Neither agree nor disagree,Strongly agree,Somewhat agree,"First year,Second year"
Baptist,No answer,Cisgender woman,No answer,"Black or African-American (Examples: Jamaican, Nigerian, Haitian, Ethiopian)",Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Black or African American,Female,No,"Haven't needed any CAPS services,I am worried the wait time will be too long,I don't think CAPS has staff who can treat me,I don't have time",Somewhat agree,"Help transitioning to Northwestern,Counseling on a Medical Leave of Absence",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"No, unaware of this service",No answer,Strongly disagree,Strongly disagree,Strongly disagree,"Student advocacy groups (e.g. Reform CAPS),Peer advisors and student mentors","On-campus affinity spaces (e.g. Black House, GSRC, Women's Center),Friends,Family,Peer advisors,Resident Assistants,Faculty or academic advisors","Drop-In Hours at CARE,NU Peer Support Group,ResilientNU,Appointment at CAPS",Family,Strongly disagree,Prefer not to answer,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Somewhat disagree,"In classes or labs,In my student organizations,In front of non-faculty university administrators",Strongly agree,Somewhat disagree,Strongly agree,No answer,Strongly disagree,"I have other sources of support,I did not know chaplain services existed at Northwestern",Neither agree nor disagree,No,No,No answer,Somewhat disagree,No answer,"Yes, one",Between 1-5 hours,Somewhat disagree,Strongly disagree,Strongly disagree,No answer
Eastern Orthodox,No answer,Cisgender man,No answer,"Black or African-American (Examples: Jamaican, Nigerian, Haitian, Ethiopian)",Not High Need 4+,Second Year,Weinberg College of Arts & Sci,First Generation College,Black or African American,Male,No,Haven't needed any CAPS services,Strongly disagree,"Help with interpersonal relationships,Emergency mental health care",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Strongly agree,Strongly agree,Strongly agree,"Friends,Peer advisors and student mentors","Student organizations,Sports teams,Friends,Family,Faculty or academic advisors","Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family,Dorm/neighborhood",Unable to judge,No,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Strongly agree,No answer,Strongly agree,Strongly agree,Strongly agree,Drop-in meditation,Somewhat disagree,"I have other sources of support,I did not know chaplain services existed at Northwestern",Neither agree nor disagree,Yes,Prefer not to answer,Somewhat agree,Strongly agree,Strongly agree,No,Between 1-5 hours,Somewhat disagree,Somewhat agree,Somewhat disagree,First year
Methodist,No answer,Cisgender man,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Asian/Pacific Islander,Male,No,"Haven't needed any CAPS services,I am worried the wait time will be too long,I don't have time",Somewhat disagree,"Help transitioning to Northwestern,Help navigating my identity,Receiving a preliminary diagnosis",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat agree,Somewhat agree,Somewhat agree,"Personal experience with CAPS,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Peer advisors and student mentors","Student Enrichment Services (SES),Friends,Family,Faculty or academic advisors","Active Minds,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family",Neither agree or disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Neither agree nor disagree,No answer,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Weekly religious services,Neither agree nor disagree,No answer,No answer,No,Yes,Strongly agree,Neither agree nor disagree,Somewhat agree,No,Between 1-5 hours,Somewhat disagree,Somewhat disagree,Somewhat disagree,No answer
No answer,No answer,No answer,No answer,No answer,Not High Need 4+,Second Year,School of Engineering,Not 1st Generation,Hispanic,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer
Agnostic,No answer,Cisgender man,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian),White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Second Year,Bienen School of Music,Not 1st Generation,Hispanic,Male,No,I am worried the wait time will be too long,Neither agree nor disagree,"Emergency mental health care,Counseling on a Medical Leave of Absence",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"No, unaware of this service",No answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms",No answer,Appointment at CAPS,No answer,Somewhat disagree,Yes,"Yes, although I did not take one.","I decided it was no longer necessary,I had a lack of information and guidance about the MLOA process,Stigma related to MLOAs,Anxiety around falling behind academically",I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No,No answer,Somewhat agree,No answer,"Yes, one",Less than 1 hour,Neither agree nor disagree,Somewhat agree,Somewhat agree,First year
Agnostic,No answer,Cisgender woman,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian)",High Need 4+,Second Year,School of Engineering,Not 1st Generation,Hispanic,Female,No,"I am worried the wait time will be too long,I am worried about cost",Somewhat disagree,"Coping with academic-related stress,Help with interpersonal relationships,Receiving a preliminary diagnosis",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Yes,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Peer advisors and student mentors","Student organizations,On-campus affinity spaces (e.g. Black House, GSRC, Women's Center),Student Enrichment Services (SES),Friends,Family",Virtual appointment through TimelyCare,"Friend Group,Family",Somewhat disagree,Yes,"Yes, although I did not take one.","I had a lack of information and guidance about the MLOA process,Anxiety around falling behind academically",I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,I have other sources of support,Neither agree nor disagree,Yes,No,Somewhat agree,Somewhat disagree,Somewhat disagree,"Yes, one",Between 1-5 hours,Strongly disagree,Somewhat disagree,Somewhat disagree,No answer
Atheist,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Female,No,"I am worried the wait time will be too long,I don't have time,I am worried about cost",Strongly disagree,"Coping with academic-related stress,Emergency mental health care,Receiving a preliminary diagnosis",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat disagree,Somewhat agree,Somewhat agree,"Friends,Student advocacy groups (e.g. Reform CAPS)","Student organizations,Friends,Family,Resident Assistants","Soldari-tea,NU Peer Support Group,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Dorm/neighborhood,Student organization",Neither agree or disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,"Drop-in meditation,Alice Millar Chapel Choir concerts",Strongly disagree,"I have other sources of support,I generally avoid religious institutions",Strongly agree,No,Yes,Strongly agree,Strongly agree,Somewhat agree,No,Between 11-15 hours,Neither agree nor disagree,Strongly agree,Strongly agree,Second year
Protestant (non-denominational),No answer,Cisgender man,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian)",Not High Need 4+,Second Year,School of Journalism,Not 1st Generation,Hispanic,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Friends,Family,Peer advisors",Virtual appointment through TimelyCare,Friend Group,Strongly disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Strongly disagree,In classes or labs,Neither agree nor disagree,Strongly agree,Somewhat agree,Weekly religious services,Strongly agree,No answer,No answer,No,Prefer not to answer,No answer,Strongly agree,No answer,"Yes, more than one",Between 16-20 hours,Somewhat agree,Somewhat agree,Somewhat agree,No answer
Jewish,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Female,No,"I am worried the wait time will be too long,I don't think CAPS has staff who can treat me",Somewhat disagree,Counseling on a Medical Leave of Absence,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Strongly disagree,Strongly disagree,Strongly disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Student publications,Peer advisors and student mentors","Friends,Family","Active Minds,ResilientNU,Appointment at CAPS","IFC/PHA Greek Life,Friend Group,Family",Somewhat disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,Weekly religious services,Strongly disagree,I have other sources of support,Neither agree nor disagree,No,No,No answer,Somewhat agree,No answer,No,Between 6-10 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Christian (non-denominational),No answer,Cisgender man,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,First Year,School of Communication,Not 1st Generation,White,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Friends,Family","Drop-In Hours at CARE,ResilientNU","Friend Group,Family,Dorm/neighborhood",Neither agree or disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,I have other sources of support,Neither agree nor disagree,No,No,No answer,Somewhat agree,No answer,No,Between 1-5 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Muslim,No answer,Cisgender woman,No answer,"Black or African-American (Examples: Jamaican, Nigerian, Haitian, Ethiopian)",High Need 4+,Second Year,School of Communication,Not 1st Generation,Black or African American,Female,No,Haven't needed any CAPS services,Neither agree nor disagree,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat disagree,Somewhat disagree,Somewhat disagree,Friends,No answer,Let's Talk,Friend Group,Unable to judge,Yes,"Yes, although I did not take one.",Anxiety around falling behind academically,I am spiritual,Neither agree nor disagree,No answer,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Drop-in meditation,Neither agree nor disagree,No answer,No answer,Yes,Prefer not to answer,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,"Yes, more than one",Between 6-10 hours,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No answer
Catholic,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Second Year,School of Communication,Not 1st Generation,White,Female,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Friends,Family,Faculty or academic advisors","Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family",Unable to judge,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,"Weekly religious services,Alice Millar Chapel Choir concerts",Neither agree nor disagree,No answer,No answer,No,No,No answer,Neither agree nor disagree,No answer,"Yes, more than one",Between 11-15 hours,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No answer
Atheist,No answer,Cisgender man,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese),Middle Eastern or North African (Examples: Lebanese, Iranian, Egyptian, Syrian, Moroccan)",Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Two or More Races,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Student organizations,Sports teams,Friends,Family","NU Peer Support Group,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family,Student organization,Sports team",Somewhat agree,No,"Yes, although I did not take one.","Stigma related to MLOAs,My family was unsupportive",I am spiritual,Somewhat agree,No answer,Somewhat agree,Neither agree nor disagree,Somewhat agree,Drop-in meditation,Strongly agree,No answer,No answer,No,No,No answer,Neither agree nor disagree,No answer,No,Between 1-5 hours,Strongly disagree,Somewhat disagree,Somewhat disagree,No answer
